"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"99057fd3-58ba-4ef2-a3e0-c7fcaaf06408","Shai","Gilgeous-Alexander","1.2","421.0","G1","G","Oklahoma City Thunder",,
"031ab056-bba0-4bfc-a120-003e6e9047df","Jayson","Tatum","2.4","376.0","W1","W","Boston Celtics",,
"6fd29ed5-7731-46b3-81e5-9bc21c1d3adc","Nikola","Jokic","3.1","474.0","B1","B","Denver Nuggets",,
"62d2e3e3-8fd3-410d-accb-253ae9b892b0","Luka","Doncic","3.8","315.0","G2","G","Los Angeles Lakers",,
"4c13b88b-8299-436f-9123-b2eac3be8b9a","Donovan","Mitchell","5.7","300.0","G3","G","Cleveland Cavaliers",,
"b6273e4c-24c4-4033-8c99-12efade95d5e","Jaylen","Brown","6.9","315.0","W2","W","Boston Celtics",,
"5cf4b7cf-55a4-42f2-91da-b86c1a277a15","LeBron","James","7.6","341.0","W3","W","Los Angeles Lakers",,
"ebfd4657-afca-49e7-b8de-04b52e8ecc64","Giannis","Antetokounmpo","8.5","356.0","W4","W","Milwaukee Bucks",,
"c0f56dd7-2a98-45e0-aa80-0513ed4219ca","Jalen","Williams","9.4","303.0","W5","W","Oklahoma City Thunder",,
"952e802f-f95e-4ac4-9661-8b682d780a55","Kristaps","Porzingis","9.7","330.0","B2","B","Boston Celtics",,
"1da72d31-2b4a-4359-9f73-848c95459c9e","Evan","Mobley","11.0","283.0","B3","B","Cleveland Cavaliers",,
"c89dff27-d0e5-474c-8557-f8498efdd445","Chet","Holmgren","12.6","300.0","B4","B","Oklahoma City Thunder",,
"21ae5615-cee9-40c9-9491-6cdd6b386cbd","Karl-Anthony","Towns","13.6","357.0","B5","B","New York Knicks",,
"99dde8fd-3e78-4a6e-ae23-c30f4591ece0","Derrick","White","14.4","249.0","G4","G","Boston Celtics",,
"8139b8d1-da8e-44fa-8af4-d9b26e9eab74","Darius","Garland","16.5","282.0","G5","G","Cleveland Cavaliers",,
"01d10f3d-d0d1-4c7b-85f7-bccc92a899dc","Stephen","Curry","16.7","125.0","G6","G","Golden State Warriors",,
"6c2a589c-ba2e-4a60-a43f-5edcfa6d8b81","Jarrett","Allen","18.3","272.0","B6","B","Cleveland Cavaliers",,
"806b1335-cc1d-45ed-95df-8e6bd99c1438","Alperen","Sengun","18.8","325.0","B7","B","Houston Rockets",,
"10cd6b5d-36e7-4018-9f17-7b01a3734dd1","Jalen","Brunson","20.0","328.0","G7","G","New York Knicks",,
"f6e824b3-813a-4a07-9794-db151b15e086","Isaiah","Hartenstein","21.1","244.0","B8","B","Oklahoma City Thunder",,
"d0573814-1746-47a3-b9c7-8676b202499c","Austin","Reaves","21.2","249.0","G8","G","Los Angeles Lakers",,
"71f3dbf0-d5d6-4b3d-b529-4cadbd8d32fb","Anthony","Edwards","22.2","250.0","G9","G","Minnesota Timberwolves",,
"72305366-b914-4c69-bd78-d4e357e4cd4b","Kawhi","Leonard","23.5","220.0","W6","W","LA Clippers",,
"1e61cff1-5cba-4b59-a5fb-4bc78c7fd09e","Jrue","Holiday","23.7","163.0","G10","G","Boston Celtics",,
"5617efa9-1ac7-404d-81a3-dcbaa8ff3c55","Tyrese","Haliburton","27.0","303.0","G11","G","Indiana Pacers",,
"db01ecd4-cb94-43a6-963b-5cc13a6f3944","Jimmy","Butler","27.2","140.0","W7","W","Golden State Warriors",,
"98e2541f-0649-4d1d-9b44-9ab64e3d8be6","Amen","Thompson","27.8","265.0","W8","W","Houston Rockets",,
"61dd1715-7761-4f31-a5f5-e9e7daadae11","Jamal","Murray","29.2","279.0","G12","G","Denver Nuggets",,
"c367fdcc-f2e0-42c3-9d57-8777e84bea00","James","Harden","29.2","214.0","G13","G","LA Clippers",,
"83f09075-05ea-4d98-a6c4-50601a0a954d","Pascal","Siakam","31.4","299.0","W9","W","Indiana Pacers",,
"03838c81-8fef-4bae-8ffa-9f527a3cd5e7","Cade","Cunningham","31.4","239.0","G14","G","Detroit Pistons",,
"70dd13bd-7a17-43c8-a064-79a12d8ae527","De'Andre","Hunter","31.9","210.0","W10","W","Cleveland Cavaliers",,
"c5389746-8b6f-4c3e-9dbf-e047ff6c0c46","Al","Horford","33.2","136.0","B9","B","Boston Celtics",,
